iter	Passed	Remaining
0	2	587
11	10	152	82	14	1471
3	20	1482
4	25	1477
5	29	1450
6	34	1456
7	39	1448
8	44	1429
9	48	1411
10	53	1410
11	57	1375
12	60	1343
13	66	1351
14	69	1327
15	73	1307
16	77	1287
17	81	1272
18	85	1264
19	89	1251
20	93	1236
21	97	1228
22	100	1215
23	104	1203
24	108	1197
25	112	1190
26	117	1184
27	120	1174
28	124	1164
29	128	1158
30	132	1151
31	136	1144
32	140	1136
33	144	1134
34	148	1127
35	153	1123
36	156	1113
37	160	1110
38	166	1111
39	170	1105
40	173	1097
41	178	1094
42	182	1088
43	185	1081
44	189	1074
45	193	1070
46	198	1068
47	202	1064
48	206	1056
49	211	1057
50	215	1053
51	220	1051
52	224	1047
53	230	1047
54	234	1043
55	238	1039
56	242	1035
57	247	1032
58	251	1027
59	255	1023
60	260	1020
61	264	1016
62	269	1012
63	273	1008
64	278	1005
65	282	1001
66	286	996
67	291	994
68	295	990
69	300	985
70	304	982
71	309	979
72	313	974
73	317	969
74	321	965
75	326	962
76	330	958
77	335	955
78	340	951
79	344	946
80	348	941
81	352	937
82	358	936
83	362	931
84	366	927
85	371	924
86	376	920
87	379	915
88	383	909
89	387	905
90	392	901
91	396	896
92	400	892
93	405	888
94	409	882
95	413	877
96	417	873
97	421	869
98	425	864
99	429	858
100	433	855
101	438	850
102	442	845
103	446	840
104	451	838
105	455	833
106	459	828
107	463	823
108	467	818
109	471	813
110	475	808
111	479	804
112	483	799
113	487	794
114	491	790
115	495	785
116	499	781
117	503	777
118	507	772
119	512	768
120	516	763
121	519	758
122	523	753
123	527	748
124	530	743
125	534	738
126	538	733
127	542	728
128	546	724
129	550	719
130	553	714
131	557	709
