iter	Passed	Remaining
0	4	1372
1	11	1719
2	15	1502
3	18	1369
4	21	1275
5	24	1214
6	27	1159
7	30	1119
8	33	1069
9	36	1068
10	38	1021
11	42	1012
12	45	1004
13	48	995
14	51	986
15	55	978
16	58	969
17	60	954
18	63	938
19	65	922
20	68	908
21	71	900
22	74	892
23	76	881
24	79	871
25	81	859
26	84	849
27	86	844
28	89	837
29	92	828
30	94	822
31	97	815
32	99	808
33	102	804
34	105	798
35	107	791
36	110	783
37	112	777
38	115	771
39	118	768
40	121	765
41	123	759
42	125	752
43	128	746
44	130	740
45	133	737
46	136	734
47	139	732
48	142	728
49	144	723
50	147	721
51	150	719
52	153	715
53	156	711
54	158	708
55	161	704
56	164	702
57	167	700
58	170	697
59	173	693
60	175	688
61	178	685
62	181	683
63	184	679
64	186	675
65	189	670
66	191	667
67	195	667
68	199	666
69	201	663
70	204	658
71	206	653
72	209	651
73	213	652
74	216	649
75	219	647
76	223	645
77	225	642
78	228	639
79	231	637
80	234	634
81	238	633
82	241	631
83	245	630
84	248	628
85	251	625
86	254	622
87	257	619
88	260	618
89	265	618
90	268	616
91	271	613
92	274	611
93	277	607
94	279	603
95	282	599
96	284	596
97	303	625
98	305	621
99	315	631
100	328	646
101	332	645
102	335	641
103	337	636
104	341	633
105	343	628
106	345	623
107	347	618
108	350	614
109	353	610
110	356	606
111	358	601
112	361	597
113	363	593
114	366	589
115	369	585
116	371	581
117	373	576
118	376	572
119	378	568
120	382	565
121	385	562
122	387	558
123	390	554
124	392	550
125	395	546
126	399	543
127	402	540
128	405	537
129	407	533
130	410	529
131	413	526
132	416	523
133	419	519
134	421	515
135	424	511
136	427	509
137	430	505
138	433	502
139	435	498
140	438	494
141	441	491
142	444	488
143	447	484
144	449	480
145	452	476
146	454	473
147	457	470
148	460	466
149	463	463
150	465	459
151	468	456
152	470	452
153	474	449
154	476	445
155	479	442
156	481	438
157	484	435
158	486	431
159	490	428
160	492	425
161	495	421
162	497	418
163	500	414
164	502	411
165	505	408
166	508	404
167	510	401
168	513	398
169	516	394
170	518	391
171	522	388
172	525	385
173	527	382
174	530	378
175	533	375
176	536	372
177	538	369
178	541	365
179	543	362
180	546	359
181	548	355
182	551	352
183	554	349
184	556	346
185	559	342
186	562	339
187	564	336
188	568	333
189	570	330
190	573	327
191	575	323
192	578	320
193	580	317
194	583	314
195	586	311
196	588	307
197	590	304
198	593	301
199	596	298
200	599	295
201	603	292
202	606	289
203	608	286
204	611	283
205	615	280
206	617	277
207	620	274
208	623	271
209	625	268
210	628	265
211	631	262
212	633	258
213	636	255
214	638	252
215	640	249
216	643	246
217	646	243
218	648	239
219	650	236
220	653	233
221	655	230
222	657	227
223	660	224
224	663	221
225	665	217
226	667	214
227	669	211
228	672	208
229	675	205
230	677	202
231	680	199
232	682	196
233	684	193
234	687	190
235	690	187
236	693	184
237	695	181
238	698	178
239	700	175
240	702	172
241	705	169
242	708	166
243	710	163
244	713	160
245	715	157
246	718	154
247	720	151
248	723	148
249	725	145
250	727	142
251	730	139
252	732	136
253	735	133
254	737	130
255	739	127
256	741	124
257	744	121
258	746	118
259	749	115
260	751	112
261	754	109
262	756	106
263	759	103
264	761	100
265	764	97
266	767	94
267	769	91
268	772	89
269	774	86
270	777	83
271	780	80
272	783	77
273	786	74
274	789	71
275	791	68
276	794	65
277	797	63
278	800	60
279	803	57
280	805	54
281	807	51
282	811	48
283	813	45
284	816	42
285	819	40
286	821	37
287	823	34
288	827	31
289	830	28
290	833	25
291	835	22
292	837	20
293	840	17
294	843	14
295	846	11
296	849	8
297	851	5
298	854	2
299	856	0
